d,L,Q,Av,Median
3,8,0.0,0.000396882,2.57045e-06
3,8,0.00390625,0.00119052,7.864089999999999e-06
3,8,0.0078125,0.0019839000000000002,1.31652e-05
3,8,0.011718799999999998,0.00277689,1.86451e-05
3,8,0.015625,0.00356941,2.4203200000000002e-05
3,8,0.019531200000000002,0.00436152,2.97465e-05
3,8,0.0234375,0.00515336,3.56436e-05
3,8,0.027343799999999998,0.005945000000000001,4.2311800000000004e-05
3,8,0.03125,0.00673673,4.8615e-05
3,8,0.0351562,0.00752877,5.5599899999999996e-05
3,8,0.0390625,0.00832128,6.219380000000001e-05
3,8,0.0429688,0.00911446,6.9797e-05
3,8,0.046875,0.00990846,7.82534e-05
3,8,0.0507812,0.010703299999999999,8.79355e-05
3,8,0.0546875,0.011499299999999999,9.71146e-05
3,8,0.0585938,0.0122963,0.00010839899999999999
3,8,0.0625,0.013094799999999998,0.000117686
3,8,0.0664062,0.013895099999999999,0.000131116
3,8,0.0703125,0.014697700000000001,0.000141751
3,8,0.0742188,0.0155029,0.000154361
3,8,0.078125,0.016311199999999998,0.00016559700000000002
3,8,0.0820312,0.017123,0.000183753
3,8,0.0859375,0.0179385,0.00020050599999999998
3,8,0.0898438,0.0187582,0.00021638400000000002
3,8,0.09375,0.0195822,0.000232839
3,8,0.0976562,0.0204107,0.000246778
3,8,0.101562,0.021244,0.000264913
3,8,0.10546900000000001,0.0220821,0.000287093
3,8,0.109375,0.0229253,0.00030456099999999996
3,8,0.11328099999999999,0.0237736,0.00033220300000000004
3,8,0.11718800000000001,0.024627,0.000356979
3,8,0.12109400000000001,0.0254857,0.000388924
3,8,0.125,0.026349599999999997,0.00041949800000000003
3,8,0.128906,0.0272186,0.000453648
3,8,0.13281199999999999,0.0280922,0.000477061
3,8,0.136719,0.0289702,0.0005127080000000001
3,8,0.140625,0.029851799999999998,0.000545524
3,8,0.144531,0.030736700000000002,0.000574686
3,8,0.14843800000000001,0.031624200000000005,0.000611957
3,8,0.152344,0.0325136,0.000654373
3,8,0.15625,0.0334046,0.0006965589999999999
3,8,0.160156,0.034296600000000003,0.000732373
3,8,0.16406199999999999,0.0351893,0.000774112
3,8,0.167969,0.0360824,0.000826914
3,8,0.171875,0.0369756,0.000869225
3,8,0.175781,0.037868900000000004,0.000902482
3,8,0.17968800000000001,0.0387622,0.000962805
3,8,0.183594,0.0396555,0.0010151
3,8,0.1875,0.0405491,0.00107
3,8,0.191406,0.0414431,0.00113217
3,8,0.19531199999999999,0.042337900000000005,0.00119672
3,8,0.199219,0.0432338,0.00124497
3,8,0.203125,0.0441314,0.00129289
3,8,0.207031,0.0450308,0.00135748
3,8,0.21093800000000001,0.0459326,0.00143347
3,8,0.214844,0.0468371,0.00148354
3,8,0.21875,0.0477446,0.00155829
3,8,0.222656,0.0486555,0.00165667
3,8,0.22656199999999999,0.049569999999999996,0.00174297
3,8,0.230469,0.0504885,0.00185028
3,8,0.234375,0.0514114,0.00195872
3,8,0.238281,0.0523389,0.00206722
3,8,0.24218800000000001,0.0532712,0.00221733
3,8,0.246094,0.05420880000000001,0.00235025
3,8,0.25,0.0551518,0.00249194
3,8,0.253906,0.056100699999999996,0.00259031
3,8,0.257812,0.0570558,0.00273427
3,8,0.261719,0.058017200000000005,0.0028420000000000003
3,8,0.265625,0.0589851,0.00298784
3,8,0.269531,0.059959500000000006,0.00317447
3,8,0.273438,0.0609404,0.00327039
3,8,0.277344,0.061927499999999996,0.00341591
3,8,0.28125,0.0629207,0.00359355
3,8,0.285156,0.0639199,0.00379413
3,8,0.289062,0.064925,0.00394255
3,8,0.292969,0.065936,0.00419809
3,8,0.296875,0.0669529,0.00444456
3,8,0.300781,0.06797589999999999,0.004628
3,8,0.304688,0.0690052,0.00488906
3,8,0.308594,0.0700408,0.00505214
3,8,0.3125,0.07108300000000001,0.00525686
3,8,0.316406,0.0721315,0.00545561
3,8,0.320312,0.07318619999999999,0.00574925
3,8,0.324219,0.0742467,0.00595057
3,8,0.328125,0.0753128,0.00620198
3,8,0.332031,0.07638389999999999,0.00642133
3,8,0.335938,0.07745969999999999,0.00671061
3,8,0.339844,0.0785398,0.00706145
3,8,0.34375,0.0796239,0.00730264
3,8,0.347656,0.08071189999999999,0.0076253
3,8,0.351562,0.0818039,0.00789525
3,8,0.355469,0.08289989999999998,0.00820122
3,8,0.359375,0.08400010000000001,0.00857432
3,8,0.363281,0.085105,0.00887873
3,8,0.367188,0.086215,0.00932982
3,8,0.371094,0.08733060000000001,0.0097397
3,8,0.375,0.0884523,0.0102547
3,8,0.378906,0.0895807,0.010609100000000002
3,8,0.382812,0.09071610000000001,0.0109476
3,8,0.386719,0.0918588,0.011395299999999999
3,8,0.390625,0.09300889999999999,0.011893299999999999
3,8,0.394531,0.0941664,0.0124806
3,8,0.398438,0.0953312,0.0129898
3,8,0.402344,0.0965028,0.013556
3,8,0.40625,0.09768099999999999,0.0139828
3,8,0.410156,0.09886519999999999,0.0146194
3,8,0.414062,0.10005499999999999,0.015082900000000002
3,8,0.417969,0.101251,0.015585
3,8,0.421875,0.102453,0.0161242
3,8,0.425781,0.10366099999999999,0.0167341
3,8,0.429688,0.104877,0.017197
3,8,0.433594,0.106101,0.017844799999999997
3,8,0.4375,0.107333,0.018447099999999998
3,8,0.441406,0.108575,0.0190947
3,8,0.445312,0.109829,0.0196032
3,8,0.449219,0.11109400000000001,0.020318700000000002
3,8,0.453125,0.112371,0.0211463
3,8,0.457031,0.11366199999999999,0.022060800000000002
3,8,0.460938,0.11496600000000001,0.0229327
3,8,0.464844,0.11628499999999999,0.023613299999999997
3,8,0.46875,0.117619,0.024450200000000002
3,8,0.472656,0.118969,0.0251371
3,8,0.476562,0.120335,0.0261697
3,8,0.480469,0.121718,0.0270212
3,8,0.484375,0.12312000000000001,0.028090499999999997
3,8,0.488281,0.12453900000000001,0.028967900000000005
3,8,0.492188,0.125977,0.029719
3,8,0.496094,0.127434,0.030794400000000003
3,8,0.5,0.128909,0.032370499999999996
3,8,0.5039060000000001,0.130402,0.033395999999999995
3,8,0.507812,0.131912,0.0348814
3,8,0.5117189999999999,0.13344,0.036588999999999997
3,8,0.515625,0.134983,0.0374786
3,8,0.5195310000000001,0.136543,0.038849400000000006
3,8,0.523438,0.13811700000000002,0.040723800000000004
3,8,0.5273439999999999,0.139706,0.042278199999999995
3,8,0.53125,0.14131,0.043459899999999996
3,8,0.5351560000000001,0.142928,0.0454664
3,8,0.539062,0.144561,0.0468897
3,8,0.5429689999999999,0.146209,0.048604800000000004
3,8,0.546875,0.147874,0.0501251
3,8,0.5507810000000001,0.149555,0.0524069
3,8,0.554688,0.151254,0.0546477
3,8,0.5585939999999999,0.152973,0.056578199999999995
3,8,0.5625,0.15471300000000002,0.05859690000000001
3,8,0.5664060000000001,0.156476,0.061149
3,8,0.570312,0.15826400000000002,0.0631121
3,8,0.5742189999999999,0.160078,0.0657862
3,8,0.578125,0.161921,0.0677159
3,8,0.5820310000000001,0.163795,0.0695417
3,8,0.585938,0.1657,0.07163939999999999
3,8,0.5898439999999999,0.167639,0.0735278
3,8,0.59375,0.16961199999999999,0.0766365
3,8,0.5976560000000001,0.171622,0.0793777
3,8,0.601562,0.17366900000000002,0.0814959
3,8,0.6054689999999999,0.175755,0.08376460000000001
3,8,0.609375,0.177879,0.08621419999999999
3,8,0.6132810000000001,0.180044,0.08824560000000001
3,8,0.617188,0.18225,0.0905917
3,8,0.6210939999999999,0.184498,0.0938502
3,8,0.625,0.186789,0.097264
3,8,0.6289060000000001,0.189125,0.101991
3,8,0.632812,0.191505,0.10528299999999999
3,8,0.6367189999999999,0.193932,0.108615
3,8,0.640625,0.196406,0.111757
3,8,0.6445310000000001,0.198927,0.11559000000000001
3,8,0.648438,0.201498,0.118871
3,8,0.6523439999999999,0.204119,0.121647
3,8,0.65625,0.206792,0.12546300000000002
3,8,0.6601560000000001,0.209519,0.129246
3,8,0.664062,0.21230100000000002,0.13312100000000002
3,8,0.6679689999999999,0.215142,0.136902
3,8,0.671875,0.21804400000000002,0.140916
3,8,0.6757810000000001,0.221007,0.145232
3,8,0.679688,0.22403499999999998,0.149125
3,8,0.6835939999999999,0.22713000000000003,0.15315
3,8,0.6875,0.23029299999999997,0.157224
3,8,0.6914060000000001,0.23352699999999998,0.16281500000000002
3,8,0.695312,0.236833,0.16755
3,8,0.6992189999999999,0.240215,0.172342
3,8,0.703125,0.24367399999999997,0.178739
3,8,0.7070310000000001,0.247214,0.183091
3,8,0.710938,0.250838,0.189485
3,8,0.7148439999999999,0.25455,0.195924
3,8,0.71875,0.258356,0.20180599999999999
3,8,0.7226560000000001,0.262259,0.207983
3,8,0.726562,0.266266,0.21229800000000001
3,8,0.7304689999999999,0.270381,0.218464
3,8,0.734375,0.274611,0.22610500000000003
3,8,0.7382810000000001,0.278961,0.231961
3,8,0.742188,0.283439,0.23883600000000002
3,8,0.7460939999999999,0.28805,0.246329
3,8,0.75,0.292802,0.252854
3,8,0.7539060000000001,0.297702,0.261348
3,8,0.757812,0.302757,0.269417
3,8,0.7617189999999999,0.307977,0.276431
3,8,0.765625,0.313369,0.28534699999999996
3,8,0.7695310000000001,0.318942,0.29341999999999996
3,8,0.773438,0.324705,0.30246100000000004
3,8,0.7773439999999999,0.33066799999999996,0.31388499999999997
3,8,0.78125,0.33684400000000003,0.32236
3,8,0.7851560000000001,0.343244,0.332005
3,8,0.789062,0.349881,0.340858
3,8,0.7929689999999999,0.356769,0.352088
3,8,0.796875,0.36392399999999997,0.362867
3,8,0.8007810000000001,0.371361,0.373155
3,8,0.804688,0.379096,0.38343
3,8,0.8085939999999999,0.387146,0.39510700000000004
3,8,0.8125,0.39552800000000005,0.407672
3,8,0.8164060000000001,0.404263,0.41999200000000003
3,8,0.820312,0.413366,0.431069
3,8,0.824219,0.42286,0.44148699999999996
3,8,0.828125,0.432762,0.45420600000000005
3,8,0.832031,0.443093,0.466923
3,8,0.835938,0.453874,0.480472
3,8,0.839844,0.46512600000000004,0.49308599999999997
3,8,0.84375,0.47686999999999996,0.5074810000000001
3,8,0.847656,0.489126,0.522768
3,8,0.851562,0.501916,0.5384439999999999
3,8,0.855469,0.515261,0.553686
3,8,0.859375,0.529184,0.569496
3,8,0.863281,0.543704,0.5863729999999999
3,8,0.867188,0.55884,0.6020300000000001
3,8,0.871094,0.574608,0.61915
3,8,0.875,0.59102,0.637888
3,8,0.878906,0.608083,0.656999
3,8,0.882812,0.625794,0.676163
3,8,0.886719,0.644143,0.695512
3,8,0.890625,0.6631100000000001,0.715109
3,8,0.894531,0.682661,0.7351300000000001
3,8,0.898438,0.702747,0.755105
3,8,0.902344,0.723303,0.7755920000000001
3,8,0.90625,0.7442439999999999,0.796755
3,8,0.910156,0.765466,0.817647
3,8,0.914062,0.786837,0.837924
3,8,0.917969,0.808203,0.8573639999999999
3,8,0.921875,0.829383,0.8765370000000001
3,8,0.925781,0.850174,0.8945629999999999
3,8,0.929688,0.870348,0.9123899999999999
3,8,0.933594,0.889667,0.9280889999999999
3,8,0.9375,0.9078870000000001,0.942103
3,8,0.941406,0.924768,0.954707
3,8,0.945312,0.94009,0.965685
3,8,0.949219,0.953667,0.974935
3,8,0.953125,0.965363,0.982468
3,8,0.957031,0.9751139999999999,0.988331
3,8,0.960938,0.982933,0.9926729999999999
3,8,0.964844,0.988925,0.9956780000000001
3,8,0.96875,0.993273,0.9976290000000001
3,8,0.972656,0.99623,0.998827
3,8,0.976562,0.9980870000000001,0.999489
3,8,0.980469,0.999144,0.9998049999999999
3,8,0.984375,0.999676,0.9999379999999999
3,8,0.988281,0.9999020000000001,0.999985
3,8,0.992188,0.9999790000000001,0.9999969999999999
3,8,0.996094,0.9999979999999999,1.0
3,8,1.0,1.0,1.0
